periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext
2020M09,28 Madrid,223533,177448,46085,462533,333690,128843
2020M08,29 Málaga,356755,257881,98874,1116283,752720,363562
2020M08,41 Sevilla,93011,68940,24072,176499,120246,56252
2020M08,"07 Balears, Illes",466211,209986,256226,2169131,725225,1443906
2020M08,08 Barcelona,266583,156639,109944,640096,345784,294312
2020M08,17 Girona,432036,324492,107544,1170335,836400,333935
2020M08,46 Valencia/València,193567,149356,44211,450222,343180,107041
2020M08,28 Madrid,184995,139064,45930,423510,273236,150273
2020M07,29 Málaga,254361,171860,82501,728092,437133,290959
2020M07,41 Sevilla,82847,64407,18440,148074,106281,41793
2020M07,"07 Balears, Illes",369051,105212,263839,1744346,321572,1422774
2020M07,08 Barcelona,215995,112921,103074,511597,229362,282234
2020M07,17 Girona,305377,197564,107813,774095,424641,349454
2020M07,46 Valencia/València,155260,115693,39567,349185,258944,90241
2020M07,28 Madrid,210634,161723,48911,464238,304223,160015
2020M06,29 Málaga,38424,33300,5124,72945,63179,9765
2020M06,41 Sevilla,28001,25320,2680,49112,40774,8339
2020M06,"07 Balears, Illes",23769,17945,5824,68908,51712,17196
2020M06,08 Barcelona,52177,38071,14106,105645,72914,32731
2020M06,17 Girona,61777,45154,16623,108260,78548,29712
2020M06,46 Valencia/València,41028,35476,5552,82116,70783,11333
2020M06,28 Madrid,101088,85913,15175,249788,157408,92380
2020M05,29 Málaga,1520,1475,45,3056,2871,185
2020M05,41 Sevilla,3445,3175,269,10893,7080,3813
2020M05,"07 Balears, Illes",2037,1878,158,5677,5055,622
2020M05,08 Barcelona,6240,3512,2728,16695,10758,5937
2020M05,17 Girona,1301,1002,300,2712,1788,923
2020M05,46 Valencia/València,6600,5950,650,13809,12269,1539
2020M05,28 Madrid,14942,11479,3464,33909,26084,7825
2020M04,29 Málaga,0,0,0,0,0,0
2020M04,41 Sevilla,0,0,0,0,0,0
2020M04,"07 Balears, Illes",0,0,0,0,0,0
2020M04,08 Barcelona,0,0,0,0,0,0
2020M04,17 Girona,0,0,0,0,0,0
2020M04,46 Valencia/València,0,0,0,0,0,0
2020M04,28 Madrid,0,0,0,0,0,0
2020M03,29 Málaga,175972,75319,100653,606040,187781,418259
2020M03,41 Sevilla,118173,64032,54140,239366,110945,128421
2020M03,"07 Balears, Illes",82107,26387,55721,363780,75721,288059
2020M03,08 Barcelona,308271,107587,200684,730087,204754,525333
2020M03,17 Girona,68175,38205,29969,145900,71518,74382
2020M03,46 Valencia/València,75622,46360,29262,175137,98167,76970
2020M03,28 Madrid,337077,194620,142457,788654,356134,432520
2020M02,29 Málaga,377960,180952,197008,1146360,393482,752878
2020M02,41 Sevilla,260700,140299,120401,519103,238925,280178
2020M02,"07 Balears, Illes",142452,57578,84874,530990,149209,381782
2020M02,08 Barcelona,795067,244403,550665,1769783,410832,1358952
2020M02,17 Girona,158999,93527,65473,304085,172439,131645
2020M02,46 Valencia/València,237339,137049,100291,474951,234391,240559
2020M02,28 Madrid,954082,562388,391693,1866712,938373,928339
2020M01,29 Málaga,291494,118980,172514,870774,241129,629646
2020M01,41 Sevilla,251600,123932,127669,482486,210463,272023
2020M01,"07 Balears, Illes",67682,26331,41350,231162,55272,175890
2020M01,08 Barcelona,778589,220231,558358,1801084,371958,1429126
2020M01,17 Girona,112274,68163,44112,209492,130132,79360
2020M01,46 Valencia/València,208418,109227,99192,401798,191506,210292
2020M01,28 Madrid,928608,536968,391639,1880444,920594,959850
2019M12,29 Málaga,294612,144623,149989,836158,309464,526694
2019M12,41 Sevilla,268616,143278,125338,519014,257207,261808
2019M12,"07 Balears, Illes",87057,28477,58580,287999,57813,230187
2019M12,08 Barcelona,804389,242449,561939,1816820,428605,1388215
2019M12,17 Girona,147322,95664,51658,278623,177365,101258
2019M12,46 Valencia/València,216380,126829,89551,429182,229526,199656
2019M12,28 Madrid,981552,569533,412019,2015192,1003989,1011203
2019M11,29 Málaga,328244,141564,186681,1028176,302882,725294
2019M11,41 Sevilla,291063,142107,148955,576356,255413,320944
2019M11,"07 Balears, Illes",118428,45381,73047,393987,91267,302720
2019M11,08 Barcelona,903909,246900,657009,2024675,438155,1586520
2019M11,17 Girona,165716,88950,76766,326422,162293,164130
2019M11,46 Valencia/València,265703,146636,119067,545111,273164,271947
2019M11,28 Madrid,1058042,561920,496122,2135453,985092,1150362
