periodos,zona,viajeros_nacional,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla,pernoc_total_nacional,pernoc_andalucia,pernoc_aragon,pernoc_asturias,pernoc_balears,pernoc_canarias,pernoc_cantabria,pernoc_castilla_leon,pernoc_castilla_mancha,pernoc_cataluña,pernoc_valencia,pernoc_extremadura,pernoc_galicia,pernoc_madrid,pernoc_murcia,pernoc_navarra,pernoc_paisvasco,pernoc_rioja,pernoc_ceuta,pernoc_melilla
2024M09,46 Valencia/València,100,13.86,2.28,0.93,1.68,0.88,0.51,4.13,5.81,10.42,20.2,0.76,1.96,28.49,3.11,0.75,2.7,0.65,0.86,0.03,100,9.55,2.32,1.72,1.45,0.99,0.64,6.78,7.9,7.5,17.16,0.87,2.1,32.61,2.64,0.87,2.99,0.9,0.98,0.02
2024M09,28 Madrid,100,13.56,2.27,2.81,2.4,3.26,2.08,5.14,3.2,13.19,7.87,2.43,5.18,26.27,2.78,1.58,4.44,1.06,0.27,0.17,100,14.53,2.1,2.66,2.38,3.48,2.32,4.58,3.12,13.05,7.3,2.18,5.21,26.86,2.83,1.5,4.39,1.07,0.27,0.17
2024M08,29 Málaga,100,54.42,0.56,0.95,2.42,0.62,0.34,2.24,3.27,4.54,2.57,3.85,1.66,17,1.27,0.35,2.66,0.19,0.81,0.27,100,46.14,0.78,1.18,2.94,0.54,0.36,3.23,3.98,4.57,2.35,4.96,1.77,20.5,0.96,0.42,4.05,0.34,0.73,0.2
2024M08,41 Sevilla,100,42.42,1.35,1.25,0.72,1.69,1.05,2.82,2.4,9.82,4.16,4.24,2.04,19.73,1.96,0.71,2.57,0.47,0.42,0.17,100,39.79,1.43,1.32,0.88,1.91,1.06,2.65,2.4,12.05,4.95,3.43,2.42,19.27,1.93,0.71,2.74,0.45,0.43,0.17
2024M08,"07 Balears, Illes",100,9.08,1.82,1.54,27.74,1.29,1.19,2.36,1.35,17.29,7.65,1.33,2.22,19.13,1.24,0.71,3.41,0.29,0.32,0.06,100,8.49,2.08,1.63,29.09,1.01,1.21,2.26,1.27,17.08,6.71,1.35,2.18,18.95,1.13,0.66,4.24,0.3,0.28,0.08
2024M08,08 Barcelona,100,6.12,2.57,0.53,1.77,1.14,0.61,1.29,1.48,52.13,5.27,0.48,2.33,18.13,0.85,0.94,3.5,0.63,0.13,0.06,100,5.29,3.03,0.62,1.5,1.01,0.53,1.39,1.44,52.83,4.59,0.5,2.61,17.3,0.75,1.21,4.5,0.74,0.12,0.04
2024M08,17 Girona,100,1.63,1.56,0.22,0.26,0.23,0.25,0.95,0.53,78.23,2.91,0.19,0.7,7.12,0.8,0.7,3.38,0.25,0.03,0.06,100,1.47,1.99,0.34,0.19,0.18,0.31,1.22,0.57,74.19,3.38,0.3,1.09,7.39,1.06,1.03,4.85,0.34,0.03,0.08
2024M08,46 Valencia/València,100,6.65,2.99,0.55,1.06,0.57,0.38,3.71,7.5,10.63,24.35,1.13,1.22,31.85,2.43,0.78,3.4,0.45,0.32,0.02,100,5.07,3.02,0.66,0.85,0.64,0.34,5.43,8.6,8.87,18.78,1.24,1.29,36.74,1.87,0.87,4.84,0.46,0.44,0.01
2024M08,28 Madrid,100,13.49,2.76,2.64,1.64,2.95,1.88,4.18,3.05,12.87,9.46,2.5,4.42,27.8,3.02,1.27,4.81,0.91,0.26,0.09,100,14.04,2.6,2.52,1.79,3.18,2.16,3.68,2.93,13.03,9.07,2.51,4.22,28.45,2.84,1.17,4.72,0.76,0.26,0.07
2024M07,29 Málaga,100,53.62,0.63,0.89,3,0.89,0.5,2.49,3.92,3.72,2.6,3.53,1.62,16.83,0.96,0.5,2.35,0.23,1.01,0.71,100,45.44,0.81,1.63,4.23,1.02,0.72,3.81,4.84,3.31,1.97,5.02,1.81,19.01,0.85,0.7,3.19,0.25,0.92,0.48
2024M07,41 Sevilla,100,46.67,1.04,1.53,0.83,2.35,0.95,3.12,2.58,6.33,4.4,4.59,2.51,16.97,1.59,0.8,2.64,0.49,0.5,0.13,100,45.04,1.31,1.58,0.88,2.86,1.19,2.89,2.68,7.56,4.41,3.95,3.65,15.88,1.61,0.68,2.77,0.47,0.46,0.12
2024M07,"07 Balears, Illes",100,8.64,1.21,1.65,32.28,1.43,0.92,2.09,1.42,14.38,6.78,0.71,2.51,18.44,1.41,1.12,4.2,0.38,0.36,0.05,100,8.59,1.37,2.16,30.9,1.23,0.9,2.51,1.59,13.73,5.5,0.87,2.87,18.8,1.21,1.12,5.77,0.45,0.38,0.05
