periodo;pais_origen;viajeros;pernoctaciones
2023M05;UE28 sin España;4333018;18204178
2023M05;UE27_2020 sin España;3118954;11917742
2023M05;Resto del Mundo;323677;720766
2023M05;América (sin EEUU);473902;1080435
2023M05;Estados Unidos de América;455864;1027692
2023M05;Japón;26989;52327
2023M05;Asia (sin Japón);;
2023M04;Total;9829384;28046754
2023M04;Residentes en España;4983861;10749390
2023M04;Residentes en el Extranjero;4845523;17297363
2023M04;Alemania;640754;3143902
2023M04;Austria;57200;194998
2023M04;Bélgica;119211;475320
2023M04;Dinamarca;54007;250101
2023M04;Finlandia;30880;139428
2023M04;Francia;595525;1737664
2023M04;Grecia;17258;51925
2023M04;Irlanda;126674;526043
2023M04;Italia;268582;739851
2023M04;Luxemburgo;9578;43066
2023M04;Países Bajos;217441;829492
2023M04;Polonia;94301;353756
2023M04;Portugal;194126;462595
2023M04;República Checa;32098;115556
2023M04;Suecia;71199;323088
2023M04;Resto de la U.E.;152254;478929
2023M04;Noruega;49732;237343
2023M04;Reino Unido;786934;3816795
2023M04;Rusia;;
2023M04;Suiza;108981;377899
2023M04;Otros Países Europeos;139081;458938
2023M04;África;44908;110000
2023M04;UE28 sin España;3468023;13682510
2023M04;UE27_2020 sin España;2681089;9865714
2023M04;Resto del Mundo;264705;615635
2023M04;América (sin EEUU);366005;859247
2023M04;Estados Unidos de América;335189;808101
2023M04;Japón;21464;46060
2023M04;Asia (sin Japón);;
2023M03;Total;7361364;20597741
2023M03;Residentes en España;3983218;8037671
2023M03;Residentes en el Extranjero;3378146;12560069
2023M03;Alemania;424265;2266807
2023M03;Austria;29806;112131
2023M03;Bélgica;76888;335966
2023M03;Dinamarca;49914;258925
2023M03;Finlandia;37257;196226
2023M03;Francia;316646;840882
2023M03;Grecia;12056;39390
2023M03;Irlanda;70198;309428
2023M03;Italia;203945;575925
2023M03;Luxemburgo;5282;26364
2023M03;Países Bajos;130150;502268
2023M03;Polonia;62908;254447
2023M03;Portugal;99783;208726
2023M03;República Checa;20177;78385
2023M03;Suecia;71971;371908
2023M03;Resto de la U.E.;111632;338639
2023M03;Noruega;48443;296387
2023M03;Reino Unido;592671;2958064
2023M03;Rusia;;
2023M03;Suiza;55193;189149
2023M03;Otros Países Europeos;113904;367971
2023M03;África;54366;129576
2023M03;UE28 sin España;2315549;9674481
2023M03;UE27_2020 sin España;1722878;6716417
2023M03;Resto del Mundo;199347;473051
2023M03;América (sin EEUU);263751;628363
2023M03;Estados Unidos de América;265869;666163
2023M03;Japón;21131;43846
2023M03;Asia (sin Japón);;
2023M02;Total;5967064;16816547
2023M02;Residentes en España;3337995;6508332
2023M02;Residentes en el Extranjero;2629069;10308214
2023M02;Alemania;278415;1653987
2023M02;Austria;24072;109134
2023M02;Bélgica;66352;311754
2023M02;Dinamarca;42814;243113
2023M02;Finlandia;32467;179528
2023M02;Francia;295528;830127
2023M02;Grecia;10237;35046
2023M02;Irlanda;57047;270757
2023M02;Italia;157089;481940
2023M02;Luxemburgo;4893;24972
2023M02;Países Bajos;104754;424906
2023M02;Polonia;60585;269603
2023M02;Portugal;109844;229762
2023M02;República Checa;15854;60120
2023M02;Suecia;56607;311636
2023M02;Resto de la U.E.;90488;287692
2023M02;Noruega;40567;257487
2023M02;Reino Unido;450143;2358247
2023M02;Rusia;;
2023M02;Suiza;41986;167744
2023M02;Otros Países Europeos;92304;311507
2023M02;África;50637;119220
2023M02;UE28 sin España;1857190;8082324
2023M02;UE27_2020 sin España;1407046;5724077
2023M02;Resto del Mundo;159677;397339
2023M02;América (sin EEUU);207331;508716
2023M02;Estados Unidos de América;131354;348808
