,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,provincia_simp,id,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date
97,2023M11,28 Madrid,1064684,583167,481516,2130175,1028629,1101546,Madrid,2023M11_Madrid,2.000757971379301,1.7638669540629013,2.287662299902807,2023,11,2023-11-01
98,2023M10,29 Málaga,623385,192347,431038,2186066,418870,1767196,Málaga,2023M10_Málaga,3.5067670861506133,2.17767888243643,4.099861265132077,2023,10,2023-10-01
99,2023M10,41 Sevilla,364920,161023,203897,723477,278737,444740,Sevilla,2023M10_Sevilla,1.9825633015455442,1.7310384230824167,2.181199331034787,2023,10,2023-10-01
100,2023M10,"07 Balears, Illes",1189276,148089,1041187,6381337,442356,5938981,Illes Balears,2023M10_Illes Balears,5.365732596974966,2.9870955979174685,5.704048360188899,2023,10,2023-10-01
101,2023M10,08 Barcelona,1222542,315869,906673,3171014,589710,2581304,Barcelona,2023M10_Barcelona,2.5937873709042307,1.8669448410575271,2.8470065834098954,2023,10,2023-10-01
102,2023M10,17 Girona,385596,147501,238094,1076982,266361,810621,Girona,2023M10_Girona,2.7930320853950765,1.8058250452539304,3.404625904054701,2023,10,2023-10-01
103,2023M10,46 Valencia/València,320136,169872,150264,710956,336173,374783,Valencia,2023M10_Valencia,2.2207936626933553,1.9789782895356505,2.494163605387851,2023,10,2023-10-01
104,2023M10,28 Madrid,1125946,526741,599205,2335634,961581,1374053,Madrid,2023M10_Madrid,2.0743747923967932,1.8255290550764038,2.293126726245609,2023,10,2023-10-01
105,2023M09,29 Málaga,636614,205859,430755,2302322,512787,1789535,Málaga,2023M09_Málaga,3.616511732384145,2.490962260576414,4.154414922635837,2023,9,2023-09-01
106,2023M09,41 Sevilla,337835,153142,184693,667277,254620,412657,Sevilla,2023M09_Sevilla,1.975156511314695,1.662639902835277,2.2342860855581965,2023,9,2023-09-01
107,2023M09,"07 Balears, Illes",1691128,176703,1514425,9058858,652248,8406610,Illes Balears,2023M09_Illes Balears,5.356695649294435,3.6912106755403133,5.551024316159599,2023,9,2023-09-01
108,2023M09,08 Barcelona,1216170,290347,925823,3349029,555333,2793696,Barcelona,2023M09_Barcelona,2.753750709193616,1.9126527913152194,3.01752710831336,2023,9,2023-09-01
109,2023M09,17 Girona,496403,181503,314900,1582302,380955,1201347,Girona,2023M09_Girona,3.1875351277087365,2.098890927422687,3.815011114639568,2023,9,2023-09-01
110,2023M09,46 Valencia/València,327939,176910,151029,799324,417289,382035,Valencia,2023M09_Valencia,2.4374167146938914,2.3587643434514725,2.5295473054843773,2023,9,2023-09-01
111,2023M09,28 Madrid,1148967,562876,586090,2301663,989249,1312414,Madrid,2023M09_Madrid,2.003245524022883,1.7574901043924416,2.2392704192188915,2023,9,2023-09-01
112,2023M08,29 Málaga,719761,310534,409226,2804728,955822,1848907,Málaga,2023M08_Málaga,3.896749059757336,3.0779946801316442,4.518058481132675,2023,8,2023-08-01
113,2023M08,41 Sevilla,323252,139187,184065,641777,236241,405536,Sevilla,2023M08_Sevilla,1.9853767339413213,1.6972921321675156,2.2032216879906557,2023,8,2023-08-01
114,2023M08,"07 Balears, Illes",1979182,239946,1739237,11054556,1043279,10011278,Illes Balears,2023M08_Illes Balears,5.585416601404014,4.347974127512024,5.7561321430029375,2023,8,2023-08-01
115,2023M08,08 Barcelona,1311861,280876,1030985,4026789,649993,3376797,Barcelona,2023M08_Barcelona,3.0695241340355417,2.314163545479144,3.275311473978768,2023,8,2023-08-01
116,2023M08,17 Girona,636179,264027,372153,2335305,789014,1546291,Girona,2023M08_Girona,3.6708300651231807,2.9883837637817345,4.154987330479669,2023,8,2023-08-01
117,2023M08,46 Valencia/València,369580,199350,170230,1017753,552250,465503,Valencia,2023M08_Valencia,2.7538097299637427,2.7702533233007274,2.734553251483287,2023,8,2023-08-01
118,2023M08,28 Madrid,1007541,474758,532784,1990751,845787,1144964,Madrid,2023M08_Madrid,1.975851106803594,1.781511843928907,2.14902099162137,2023,8,2023-08-01
119,2023M07,29 Málaga,689693,303567,386126,2569254,827761,1741493,Málaga,2023M07_Málaga,3.725213972013635,2.726781896582962,4.510167665477073,2023,7,2023-07-01
120,2023M07,41 Sevilla,297598,144052,153546,557786,227117,330669,Sevilla,2023M07_Sevilla,1.8742935100370297,1.576632049537667,2.1535500761986635,2023,7,2023-07-01
121,2023M07,"07 Balears, Illes",1972703,237710,1734992,10613015,974544,9638472,Illes Balears,2023M07_Illes Balears,5.379935550359076,4.099718143956922,5.5553408891798925,2023,7,2023-07-01
122,2023M07,08 Barcelona,1342584,337404,1005179,3835022,694572,3140450,Barcelona,2023M07_Barcelona,2.8564484605804927,2.0585766618060246,3.124269408732176,2023,7,2023-07-01
123,2023M07,17 Girona,590663,227893,362769,2099009,591426,1507584,Girona,2023M07_Girona,3.5536490350673735,2.5951916030768825,4.155768546926557,2023,7,2023-07-01
124,2023M07,46 Valencia/València,349183,195406,153777,932056,515682,416375,Valencia,2023M07_Valencia,2.6692479301684218,2.6390284842840037,2.707654590738537,2023,7,2023-07-01
