,periodo,pais_origen,viajeros,pernoctaciones,estancia_media,year,month,iso_date
198,2024M06,Dinamarca,44292.0,183623.0,4.145737379210693,2024,6,2024-06-01
199,2024M06,Finlandia,24407.0,94121.0,3.856311713852583,2024,6,2024-06-01
200,2024M06,Francia,552932.0,1738308.0,3.143800684351783,2024,6,2024-06-01
201,2024M06,Grecia,16372.0,44327.0,2.707488394820425,2024,6,2024-06-01
202,2024M06,Irlanda,180968.0,924775.0,5.110157596923213,2024,6,2024-06-01
203,2024M06,Italia,325633.0,1006385.0,3.0905497907153143,2024,6,2024-06-01
204,2024M06,Luxemburgo,8911.0,40071.0,4.49680170575693,2024,6,2024-06-01
205,2024M06,Países Bajos,263909.0,1192836.0,4.519876169437192,2024,6,2024-06-01
206,2024M06,Polonia,153981.0,817385.0,5.308349731460375,2024,6,2024-06-01
207,2024M06,Portugal,228972.0,673196.0,2.9400800097828554,2024,6,2024-06-01
208,2024M06,República Checa,48729.0,246586.0,5.060354203862176,2024,6,2024-06-01
209,2024M06,Suecia,77030.0,336816.0,4.3725301830455665,2024,6,2024-06-01
210,2024M06,Resto de la U.E.,186974.0,694329.0,3.7135056211023993,2024,6,2024-06-01
211,2024M06,Noruega,48793.0,224055.0,4.59194966491095,2024,6,2024-06-01
212,2024M06,Reino Unido,1365862.0,7538958.0,5.519560541255266,2024,6,2024-06-01
213,2024M06,Rusia,,,,2024,6,2024-06-01
214,2024M06,Suiza,110522.0,417611.0,3.778532780803822,2024,6,2024-06-01
215,2024M06,Otros Países Europeos,197907.0,694017.0,3.506783489214631,2024,6,2024-06-01
216,2024M06,África,74715.0,185544.0,2.483356755671552,2024,6,2024-06-01
217,2024M06,UE28 sin España,4508616.0,20861157.0,4.626953592854215,2024,6,2024-06-01
218,2024M06,UE27_2020 sin España,3142754.0,13322200.0,4.239020935141599,2024,6,2024-06-01
219,2024M06,Resto del Mundo,330668.0,782651.0,2.3668785609735443,2024,6,2024-06-01
220,2024M06,América (sin EEUU),457393.0,1078862.0,2.3587199629202895,2024,6,2024-06-01
221,2024M06,Estados Unidos de América,571681.0,1334877.0,2.335003262308875,2024,6,2024-06-01
